concept_name|R1H_Days_of_Supply_95%|R1L_days of supply too lowDays_of_Supply_05%|R2H_Refils_95%|R3H_Quanitiy_of_Service_95%|R3L_Quanitiy_of_Service_05%|clinical drug concept_id|concept_code|R1H_Jitter|R1L_Jiter|R2H_Jitter|R3H_Jitter|R3L_Jitter
Vitamin K 1 5 MG Oral Tablet|10|1|0|4|1|19019630|198102|15|-4|5|4.4|0.9
Pimozide 2 MG Oral Tablet|90|14|6|200|15|19019661|198103|95|9|11|220|13.5
Pindolol 10 MG Oral Tablet|90|21|7|225|28|19019662|198104|95|16|12|247.5|25.2
Pindolol 5 MG Oral Tablet|90|27|7|180|21|19019663|198105|95|22|12|198|18.9
Piroxicam 10 MG Oral Capsule|90|15|5|180|25|19019665|198107|95|10|10|198|22.5
Piroxicam 20 MG Oral Capsule|90|20|5|90|20|19019666|198108|95|15|10|99|18
Praziquantel 600 MG Oral Tablet|21|1|2|60|1|19019691|198140|26|-4|7|66|0.9
Primidone 50 MG Oral Tablet|90|15|7|360|15|19019693|198150|95|10|12|396|13.5
Ranitidine 150 MG Oral Capsule|90|30|5|180|30|19019696|198190|95|25|10|198|27
Rifabutin 150 MG Oral Capsule|90|10|6|100|14|19019699|198200|95|5|11|110|12.6
Rifampin 150 MG Oral Capsule|90|7|6|180|10|19019700|198201|95|2|11|198|9
Rifampin 300 MG Oral Capsule|90|7|5|150|12|19019811|198202|95|2|10|165|10.8
isoniazid 150 MG / Rifampin 300 MG Oral Capsule|100|10|1|200|14|19019812|198203|105|5|6|220|12.6
Tamoxifen 10 MG Oral Tablet|90|28|7|180|30|19019851|198240|95|23|12|198|27
tetracycline hydrochloride 250 MG Oral Capsule|90|5|3|180|12|19019852|198250|95|0|8|198|10.8
Theophylline 400 MG Extended Release Oral Capsule|90|14|10|90|14|19019854|198264|95|9|15|99|12.6
Thioridazine 100 MG Oral Tablet|90|14|8|180|20|19019856|198270|95|9|13|198|18
Tretinoin 1 MG/ML Topical Cream|60|7|4|60|20|19019860|198300|65|2|9|66|18
interferon beta-1b 0.3 MG Injection|30|28|10|15|14|19019936|198360|35|23|15|16.5|12.6
torsemide 100 MG Oral Tablet|90|15|7|135|14|19019937|198370|95|10|12|148.5|12.6
tioconazole 0.065 MG/MG Vaginal Ointment|3|3|0|13.8|13.8|19019940|198380|8|-2|5|15.18|12.42
Vigabatrin 500 MG Oral Tablet|30|30|8|240|60|19020003|199521|35|25|13|264|54
lamotrigine 25 MG Disintegrating Oral Tablet|90|10|7|270|30|19020051|198430|95|5|12|297|27
Acetaminophen 500 MG Oral Tablet|31|7|13|180|28|19020053|198440|36|2|18|198|25.2
Biotin 5 MG Oral Tablet|90|14|7|90|14|19020099|198507|95|9|12|99|12.6
Bisacodyl 10 MG Rectal Suppository|30|1|8|30|2|19020131|198509|35|-4|13|33|1.8
Caffeine 200 MG Oral Tablet|28|7|1|28|14|19020136|198520|33|2|6|30.8|12.6
Dibucaine 0.01 MG/MG Topical Ointment|14|7|2|56|28|19020365|198601|19|2|7|61.6|25.2
Dimenhydrinate 50 MG Oral Tablet|30|1|12|120|1|19020367|198603|35|-4|17|132|0.9
dimethicone 0.01 MG/MG Topical Ointment|30|5|7|226|113|19020368|198604|35|0|12|248.6|101.7
dimethicone 20 MG/ML Topical Lotion|24|15|0|237|237|19020369|198605|29|10|5|260.7|213.3
ferrous gluconate 324 MG Oral Tablet|90|7|13|90|7|19020398|198630|95|2|18|99|6.3
Folic Acid 0.4 MG Oral Tablet|90|7|13|90|7|19020400|198640|95|2|18|99|6.3
Hydrocortisone 0.01 MG/MG Topical Gel|10|7|1|90|28|19020428|198706|15|2|6|99|25.2
Hydrocortisone 5 MG/ML Topical Cream|30|5|5|56.8|28|19020429|198707|35|0|10|62.48|25.2
Magnesium Oxide 140 MG Oral Capsule|30|30|2|60|30|19020488|198740|35|25|7|66|27
Methylcellulose 500 MG Oral Tablet|31|7|13|124|12|19020512|198750|36|2|18|136.4|10.8
Niacin 50 MG Oral Tablet|30|30|3|60|60|19020516|198760|35|25|8|66|54
Polysaccharide iron complex 150 MG Oral Capsule|31|14|10|100|14|19020594|198806|36|9|15|110|12.6
Zinc Gluconate 30 MG Oral Tablet|30|14|7|31|14|19020853|198906|35|9|12|34.1|12.6
Zinc Gluconate 50 MG Oral Tablet|31|7|10|60|7|19020854|198907|36|2|15|66|6.3
ferrous sulfate 159 MG Extended Release Oral Tablet|31|14|3|56|6|19020947|198999|36|9|8|61.6|5.4
Doxycycline 100 MG Oral Capsule|90|7|6|100|14|19021041|199026|95|2|11|110|12.6
amcinonide 1 MG/ML Topical Lotion|30|7|3|240|60|19021049|199041|35|2|8|264|54
Famotidine 10 MG Oral Tablet|31|7|13|60|7|19021074|199047|36|2|18|66|6.3
Metronidazole 375 MG Oral Capsule|30|5|2|60|7|19021080|199055|35|0|7|66|6.3
mycophenolate mofetil 250 MG Oral Capsule|90|30|8|540|60|19021102|199058|95|25|13|594|54
Ascorbic Acid 250 MG Oral Tablet|31|7|13|62|7|19021150|199083|36|2|18|68.2|6.3
Pyrantel Pamoate 144 MG/ML Oral Suspension|1|1|1|30|30|19021235|199106|6|-4|6|33|27
Acarbose 100 MG Oral Tablet|90|30|5|270|42|19021312|199150|95|25|10|297|37.8
Melatonin 5 MG / Vitamin B6 1 MG Oral Tablet|30|27|6|42|28|19021316|199172|35|22|11|46.2|25.2
Psyllium 500 MG Oral Capsule|35|5|13|168|7|19021317|199180|40|0|18|184.8|6.3
Riluzole 50 MG Oral Tablet|90|14|8|180|28|19021432|199206|95|9|13|198|25.2
Ciprofloxacin 100 MG Oral Tablet|90|3|6|90|6|19021637|199370|95|-2|11|99|5.4
Etodolac 500 MG Oral Tablet|90|10|4|180|20|19021712|199390|95|5|9|198|18
clobazam 10 MG Oral Tablet|60|14|5|150|14|19021852|199450|65|9|10|165|12.6
Clotrimazole 20 MG/ML Vaginal Cream|30|3|6|9480|21|19022063|199603|35|-2|11|10428|18.9
Acitretin 25 MG Oral Capsule|90|21|5|90|12|19022171|199690|95|16|10|99|10.8
cabergoline 0.5 MG Oral Tablet|90|21|7|36|2|19022177|199703|95|16|12|39.6|1.8
topiramate 200 MG Oral Tablet|90|28|7|180|30|19022457|199890|95|23|12|198|27
Hydrochlorothiazide 12.5 MG Oral Capsule|90|28|6|90|28|19022486|199903|95|23|11|99|25.2
zileuton 600 MG Oral Tablet|90|14|8|360|34|19022487|199904|95|9|13|396|30.6
Melatonin 5 MG Sublingual Tablet|31|7|19.5|60|7|19022701|200007|36|2|24.5|66|6.3
dimethicone 10 MG/ML Topical Cream|30|6|9|236|118|19022704|200010|35|1|14|259.6|106.2
Inositol 100 MG / Niacin 400 MG Oral Capsule|90|27|13|90|27|19022709|200015|95|22|18|99|24.3
carvedilol 6.25 MG Oral Tablet|90|28|7|180|30|19022749|200031|95|23|12|198|27
carvedilol 12.5 MG Oral Tablet|90|28|6|180|30|19022750|200032|95|23|11|198|27
carvedilol 25 MG Oral Tablet|90|30|7|180|30|19022781|200033|95|25|12|198|27
olanzapine 2.5 MG Oral Tablet|90|7|8|90|7|19022782|200034|95|2|13|99|6.3
mycophenolate mofetil 500 MG Oral Tablet|90|28|6|360|60|19022826|200060|95|23|11|396|54
letrozole 2.5 MG Oral Tablet|90|30|7|90|30|19022830|200064|95|25|12|99|27
Lamivudine 150 MG / Zidovudine 300 MG Oral Tablet|90|30|7|180|56|19022896|200082|95|25|12|198|50.4
dimethicone 15 MG/ML Topical Lotion|34|16|2|236|236|19022943|200090|39|11|7|259.6|212.4
irbesartan 75 MG Oral Tablet|90|30|5|90|30|19022947|200094|95|25|10|99|27
irbesartan 150 MG Oral Tablet|90|30|5|90|30|19022948|200095|95|25|10|99|27
irbesartan 300 MG Oral Tablet|90|30|5|90|30|19022949|200096|95|25|10|99|27
Saquinavir 200 MG Oral Capsule|90|30|5|810|120|19022976|200105|95|25|10|891|108
Chondroitin Sulfates 400 MG / Glucosamine hydrochloride 500 MG Oral Capsule|90|14|13|180|14|19023037|200123|95|9|18|198|12.6
12 HR Carbamazepine 300 MG Extended Release Oral Capsule|90|14|9|270|28|19023062|200131|95|9|14|297|25.2
Acarbose 25 MG Oral Tablet|90|20|5|270|30|19023063|200132|95|15|10|297|27
12 HR Carbamazepine 200 MG Extended Release Oral Capsule|90|14|9|360|28|19023064|200133|95|9|14|396|25.2
sennosides, USP 15 MG Oral Tablet|45|8|4|180|15|19023193|200162|50|3|9|198|13.5
Finasteride 1 MG Oral Tablet|90|28|8|90|28|19023231|200172|95|23|13|99|25.2
Melatonin 0.5 MG Sublingual Tablet|28|28|6|56|56|19023233|200174|33|23|11|61.6|50.4
Camphor 5 MG/ML / Menthol 5 MG/ML Topical Lotion|30|7|13|222|222|19023235|200176|35|2|18|244.2|199.8
coenzyme Q10 75 MG Oral Capsule|90|90|1|90|90|19023268|200190|95|85|6|99|81
zolmitriptan 2.5 MG Oral Tablet|90|3|6|36|6|19023301|200193|95|-2|11|39.6|5.4
zolmitriptan 5 MG Oral Tablet|90|3|6|30|5|19023302|200194|95|-2|11|33|4.5
Chondroitin Sulfates 200 MG / Glucosamine hydrochloride 250 MG Oral Tablet|35|27|13|80|28|19023335|200209|40|22|18|88|25.2
chlorophyllin 3 MG / Thymol 0.6 MG Oral Tablet|31|5|7|60|7|19023339|200213|36|0|12|66|6.3
tolcapone 100 MG Oral Tablet|90|14|9|300|28|19023364|200220|95|9|14|330|25.2
montelukast 10 MG Oral Tablet|90|30|6|90|30|19023368|200224|95|25|11|99|27
paregoric 0.4 MG/ML Oral Solution|47|4|4|1200|100|19023396|200240|52|-1|9|1320|90
potassium phosphate 155 MG / Sodium Phosphate, Dibasic 852 MG / Sodium Phosphate, Monobasic 130 MG Oral Tablet|90|7|8|270|14|19023422|200251|95|2|13|297|12.6
repaglinide 1 MG Oral Tablet|90|28|5|270|30|19023424|200256|95|23|10|297|27
repaglinide 0.5 MG Oral Tablet|90|21|5|270|30|19023425|200257|95|16|10|297|27
repaglinide 2 MG Oral Tablet|90|28|5|540|45|19023426|200258|95|23|10|594|40.5
Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet|90|30|5|90|30|19023453|200284|95|25|10|99|27
Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet|90|30|5|90|30|19023454|200285|95|25|10|99|27
Camphor 0.047 MG/MG / Eucalyptus oil 0.012 MG/MG / Menthol 0.026 MG/MG Topical Ointment|28|1|12|50|1|19023457|200293|33|-4|17|55|0.9
rilonacept 220 MG Injection|30|28|6|8|4|19023472|763453|35|23|11|8.8|3.6
Chondroitin Sulfates 200 MG / Glucosamine hydrochloride 250 MG Oral Capsule|90|28|8|90|28|19023481|200299|95|23|13|99|25.2
Fenofibrate 67 MG Oral Capsule|90|28|8|90|28|19023487|200311|95|23|13|99|25.2
Soybean Oil 200 MG/ML Injectable Suspension|8|2|33|7194.46|85|19023521|200317|13|-3|38|7913.906|76.5
Soybean Oil 300 MG/ML Injectable Suspension|5|1|9|3688|300.35|19023522|200318|10|-4|14|4056.8|270.315
paricalcitol 0.005 MG/ML Injectable Solution|62|7|0|60|3|19023525|200321|67|2|5|66|2.7
capecitabine 150 MG Oral Tablet|38|8|12|70|28|19023529|200327|43|3|17|77|25.2
capecitabine 500 MG Oral Tablet|28|4|8.5|112|13|19023530|200328|33|-1|13.5|123.2|11.7
Omeprazole 40 MG Delayed Release Oral Capsule|90|30|6|90|30|19023551|200329|95|25|11|99|27
Chondroitin Sulfates 400 MG / Glucosamine Sulfate 500 MG Oral Capsule|40|14|13|168|14|19023556|200334|45|9|18|184.8|12.6
hydroxyurea 200 MG Oral Capsule|90|14|8|150|12|19023560|200342|95|9|13|165|10.8
hydroxyurea 300 MG Oral Capsule|90|14|8|120|14|19023561|200343|95|9|13|132|12.6
hydroxyurea 400 MG Oral Capsule|90|14|4|180|15|19023562|200344|95|9|9|198|13.5
Simvastatin 80 MG Oral Tablet|90|30|5|90|30|19023563|200345|95|25|10|99|27
cefdinir 300 MG Oral Capsule|14|5|0|28|8|19023564|200346|19|0|5|30.8|7.2
Folic Acid 0.8 MG / Vitamin B 12 0.115 MG / Vitamin B6 10 MG Oral Tablet|90|14|9|90|14|19023569|200353|95|9|14|99|12.6
Citalopram 20 MG Oral Tablet|90|21|7|90|16|19023636|200371|95|16|12|99|14.4
Thalidomide 50 MG Oral Capsule|28|28|0|56|28|19023665|200390|33|23|5|61.6|25.2
decitabine 50 MG Injection|30|5|6|10|3|19024730|636631|35|0|11|11|2.7
Ketoconazole 20 MG/ML Topical Cream|30|7|3|90|15|19026476|203088|35|2|8|99|13.5
tapentadol 50 MG Oral Tablet|30|5|0|150|20|19026493|825411|35|0|5|165|18
tapentadol 75 MG Oral Tablet|30|8|0|150|30|19026495|825413|35|3|5|165|27
Hydrocortisone 0.01 MG/MG Topical Ointment|30|7|2|453.6|28.35|19026511|203105|35|2|7|498.96|25.515
Pantothenic Acid 500 MG Oral Tablet|28|14|10|28|14|19026750|312211|33|9|15|30.8|12.6
lenalidomide 15 MG Oral Capsule|28|21|0|21|11|19026980|643712|33|16|5|23.1|9.9
Malathion 5 MG/ML Topical Lotion|30|1|1|118|59|19027322|204119|35|-4|6|129.8|53.1
Desonide 0.0005 MG/MG Topical Ointment|30|6|3|60|15|19027325|204135|35|1|8|66|13.5
Haloperidol 5 MG/ML Injectable Solution|30|1|2|30|1|19027427|204416|35|-4|7|33|0.9
Hydrocortisone 10 MG/ML / Neomycin 3.5 MG/ML / Polymyxin B 10000 UNT/ML Otic Solution|30|5|1|10|10|19027462|204423|35|0|6|11|9
Famotidine 10 MG/ML Injectable Solution|10|3|45|56|8|19027493|204441|15|-2|50|61.6|7.2
Interferon Alfa-2b 6000000 UNT/ML Injectable Solution|56|14|8|15.2|3.8|19027496|204445|61|9|13|16.72|3.42
Natamycin 50 MG/ML Ophthalmic Suspension|75|7|2|15|15|19027500|204451|80|2|7|16.5|13.5
50 ML Penicillin G Potassium 40000 UNT/ML Injection|5|1|8|1200|11|19027561|204466|10|-4|13|1320|9.9
Flumazenil 0.1 MG/ML Injectable Solution|5|1|0|5|5|19027624|204508|10|-4|5|5.5|4.5
Polymyxin B 250000 UNT/ML Injectable Solution|30|2|10|1000|2|19027625|204509|35|-3|15|1100|1.8
Potassium Chloride 2 MEQ/ML Injectable Solution|12|1|41|3250|13.45|19027661|204520|17|-4|46|3575|12.105
tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension|30|1|0|1|0.5|19027665|204527|35|-4|5|1.1|0.45
50 ML cytomegalovirus immune globulin, human 50 MG/ML Injection|30|1|5|1050|200|19027666|204528|35|-4|10|1155|180
20 ML Zidovudine 10 MG/ML Injection|84|2|5|160|140|19027669|204534|89|-3|10|176|126
Bacitracin 0.4 UNT/MG / Neomycin 0.0035 MG/MG / Polymyxin B 5 UNT/MG Topical Ointment|30|5|6|56.8|28|19027805|204602|35|0|11|62.48|25.2
Riboflavin 25 MG Oral Tablet|35|5|13|64|5|19027833|204623|40|0|18|70.4|4.5
Riboflavin 50 MG Oral Tablet|30|30|5|30|30|19027834|204624|35|25|10|33|27
Riboflavin 100 MG Oral Tablet|31|14|13|224|14|19027835|204625|36|9|18|246.4|12.6
Salicylic Acid 20 MG/ML / Sulfur 20 MG/ML Medicated Shampoo|32|12|12|118|118|19027885|204638|37|7|17|129.8|106.2
selenium sulfide 10 MG/ML Medicated Shampoo|30|8.5|13|207|207|19027886|204642|35|3.5|18|227.7|186.3
Witch Hazel 1000 MG/ML Topical Solution|5|5|0|473|473|19027944|204680|10|0|5|520.3|425.7
Castor Oil 1000 MG/ML Oral Solution|2|1|1|300|59|19027948|204691|7|-4|6|330|53.1
Petrolatum 1 MG/MG Topical Ointment|30|6|5|454|28.35|19028123|204754|35|1|10|499.4|25.515
Isopropyl Alcohol 0.95 ML/ML Otic Solution|30|28|3|30|29.57|19028170|631799|35|23|8|33|26.613
Isopropyl Alcohol 0.7 ML/ML Medicated Pad|90|25|6|300|100|19028193|797544|95|20|11|330|90
Coal Tar 20 MG/ML Medicated Shampoo|30|7|0|236|120|19028249|204836|35|2|5|259.6|108
Azithromycin 600 MG Oral Tablet|84|7|5|30|4|19028283|204844|89|2|10|33|3.6
Mesna 100 MG/ML Injectable Solution|75|1|13|120|10|19028312|204870|80|-4|18|132|9
Hydrocortisone 10 MG/ML / Neomycin 3.5 MG/ML / Polymyxin B 10000 UNT/ML Ophthalmic Suspension|30|5|1|7.5|7.5|19028314|204874|35|0|6|8.25|6.75
Iodine 50 MG/ML / Potassium Iodide 100 MG/ML Oral Solution|1|1|0|15|15|19028377|204913|6|-4|5|16.5|13.5
attapulgite 150 MG/ML Oral Suspension|15|15|0|311|311|19028444|204967|20|10|5|342.1|279.9
Salicylic Acid 30 MG/ML Medicated Shampoo|30|7|5|325|133|19028471|205023|35|2|10|357.5|119.7
Mineral Oil 1000 MG/ML Enema|29|1|6|931|1|19028579|205121|34|-4|11|1024.1|0.9
5 ML Cyclosporine 50 MG/ML Injection|18|7|18|15|5|19028689|205175|23|2|23|16.5|4.5
Iodine 50 MG/ML / Potassium Iodide 100 MG/ML Topical Solution|14|14|1|14|14|19028766|205228|19|9|6|15.4|12.6
0.5 ML diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 4 UNT/ML Injection|30|1|0|1|0.5|19028828|205259|35|-4|5|1.1|0.45
leflunomide 10 MG Oral Tablet|90|25|4|90|15|19028901|205284|95|20|9|99|13.5
leflunomide 20 MG Oral Tablet|90|30|5|90|20|19028902|205285|95|25|10|99|18
efavirenz 200 MG Oral Capsule|30|14|9|90|14|19028907|205290|35|9|14|99|12.6
efavirenz 50 MG Oral Capsule|22|3|3|90|6|19028909|205292|27|-2|8|99|5.4
Prednisone 5 MG/ML Oral Solution|60|3|3|266|30|19028933|205301|65|-2|8|292.6|27
telmisartan 40 MG Oral Tablet|90|30|6|90|30|19028935|205304|95|25|11|99|27
telmisartan 80 MG Oral Tablet|90|30|6|90|30|19028936|205305|95|25|11|99|27
topiramate 25 MG Oral Capsule|90|15|6|450|30|19028938|205315|95|10|11|495|27
topiramate 15 MG Oral Capsule|90|28|6|270|30|19028939|205316|95|23|11|297|27
celecoxib 100 MG Oral Capsule|90|14|5|180|20|19029024|205322|95|9|10|198|18
celecoxib 200 MG Oral Capsule|90|23|5|180|30|19029025|205323|95|18|10|198|27
modafinil 200 MG Oral Tablet|90|27|4|120|28|19029026|205324|95|22|9|132|25.2
Lisinopril 30 MG Oral Tablet|90|30|6|90|28|19029027|205326|95|25|11|99|25.2
Lamivudine 100 MG Oral Tablet|90|28|7|90|15|19029028|205328|95|23|12|99|13.5
miglitol 25 MG Oral Tablet|100|14|6|300|30|19029029|205329|105|9|11|330|27
miglitol 50 MG Oral Tablet|90|20|6|300|30|19029030|205330|95|15|11|330|27
miglitol 100 MG Oral Tablet|90|14|5.5|270|30|19029061|205331|95|9|10.5|297|27
Hydrogen Peroxide 15 MG/ML Mucous Membrane Topical Solution|30|5|3|480|236|19029066|205336|35|0|8|528|212.4
BCG, Live, Tice Strain 50 MG/ML Injectable Suspension|42|7|2|6|1|19029095|205346|47|2|7|6.6|0.9
Clindamycin 150 MG/ML Injectable Solution|10|2|9|1400|21|19030822|205964|15|-3|14|1540|18.9
Lanolin 0.155 MG/MG / Petrolatum 0.534 MG/MG Topical Ointment|30|5|9|240|113|19033399|664981|35|0|14|264|101.7
Isosorbide Dinitrate 20 MG Oral Tablet|90|14|8|270|28|19033627|206842|95|9|13|297|25.2
artemether 20 MG / lumefantrine 120 MG Oral Tablet|30|3|5|128|20|19033637|847731|35|-2|10|140.8|18
Minocycline 50 MG Oral Tablet|90|10|4|180|20|19035325|207362|95|5|9|198|18
Minocycline 100 MG Oral Tablet|90|7|4|90|10|19035327|207364|95|2|9|99|9
50 ML Penicillin G Potassium 20000 UNT/ML Injection|7|4|1|10500|4500|19035413|207390|12|-1|6|11550|4050
50 ML Penicillin G Potassium 60000 UNT/ML Injection|8|2|4|3236|610.5|19035414|207391|13|-3|9|3559.6|549.45
Calcitriol 0.001 MG/ML Oral Solution|90|15|6|60|15|19035661|313932|95|10|11|66|13.5
Calcitriol 0.000003 MG/MG Topical Ointment|90|14|3|200|100|19035666|388517|95|9|8|220|90
rifapentine 150 MG Oral Tablet|84|7|3|72|6|19035954|242671|89|2|8|79.2|5.4
Calcium Carbonate 1250 MG Oral Tablet|90|7|13|180|12|19036004|282465|95|2|18|198|10.8
Calcium Carbonate 400 MG Chewable Tablet|80|80|0|240|240|19036117|317865|85|75|5|264|216
Calcium Carbonate 1250 MG Chewable Tablet|30|15|13|112|28|19036337|359297|35|10|18|123.2|25.2
Calcium Carbonate 1500 MG / Cholecalciferol 400 UNT Oral Tablet|90|7|13|180|14|19036366|428485|95|2|18|198|12.6
Calcium Carbonate 600 MG / Cholecalciferol 400 UNT Oral Tablet|90|27.5|9|180|28|19036426|668292|95|22.5|14|198|25.2
Calcium Carbonate 1250 MG / Cholecalciferol 400 UNT Oral Tablet|90|15|11|180|24|19036527|845523|95|10|16|198|21.6
tolvaptan 15 MG Oral Tablet|35|7|9|30|4|19036799|849827|40|2|14|33|3.6
10 ML Calcium Chloride 100 MG/ML Prefilled Syringe|1|1|0|10|10|19036829|828527|6|-4|5|11|9
tolvaptan 30 MG Oral Tablet|31|10|8|60|6|19036832|849833|36|5|13|66|5.4
Calcium Gluconate 100 MG/ML Injectable Solution|8|3|39|5000|42.022|19037061|197435|13|-2|44|5500|37.8198
Calcium Gluconate 500 MG Oral Tablet|50|14|4|100|14|19037062|198546|55|9|9|110|12.6
Beta Carotene 25000 UNT Oral Capsule|90|14|22|90|14|19037288|313861|95|9|27|99|12.6
thyroid (USP) 120 MG Oral Tablet|90|28|6|90|20|19038861|208545|95|23|11|99|18
dexlansoprazole 60 MG Delayed Release Oral Capsule|90|28|7|90|30|19039961|833213|95|23|12|99|27
zinc pyrithione 10 MG/ML Medicated Shampoo|30|28|13|700|118|19042726|209884|35|23|18|770|106.2
Acamprosate calcium 333 MG Delayed Release Oral Tablet|90|14|4|270|45|19043981|835726|95|9|9|297|40.5
Vitamin E 100 UNT Oral Capsule|71|17|11|90|19|19044121|210467|76|12|16|99|17.1
Zinc Sulfate 66 MG Oral Tablet|29|29|0|29|29|19044525|198915|34|24|5|31.9|26.1
Zinc Sulfate 220 MG Oral Capsule|31|9|10|90|10|19044609|313773|36|4|15|99|9
Zinc Sulfate 220 MG Oral Tablet|31|14|6|60|14|19044610|313774|36|9|11|66|12.6
Ergocalciferol 400 UNT Oral Tablet|90|30|4|100|30|19045048|199832|95|25|9|110|27
Ergocalciferol 8000 UNT/ML Oral Solution|120|10|13|120|60|19045071|237723|125|5|18|132|54
Evening primrose oil 500 MG Oral Capsule|28|1|10|84|1|19045311|199575|33|-4|15|92.4|0.9
Aspirin 325 MG Oral Tablet|90|7|13|90|7|19046742|212033|95|2|18|99|6.3
iloperidone 1 MG Oral Tablet|31|7|7|90|12|19048279|848722|36|2|12|99|10.8
iloperidone 10 MG Oral Tablet|31|14|9|62|14|19048302|848728|36|9|14|68.2|12.6
iloperidone 12 MG Oral Tablet|31|14|9|62|14|19048305|848732|36|9|14|68.2|12.6
iloperidone 2 MG Oral Tablet|31|7|9|62|14|19048308|848736|36|2|14|68.2|12.6
iloperidone 6 MG Oral Tablet|31|14|8|62|14|19048334|848744|36|9|13|68.2|12.6
iloperidone 8 MG Oral Tablet|31|14|9|62|14|19048337|848748|36|9|14|68.2|12.6
Potassium Chloride 20 MEQ Extended Release Oral Tablet|90|10|4|180|14|19049106|198116|95|5|9|198|12.6
Potassium Chloride 1.33 MEQ/ML Oral Solution|63|7|8|1350|120|19049335|312515|68|2|13|1485|108
Potassium Chloride 8 MEQ Extended Release Oral Tablet|90|14|7|180|14|19049375|312529|95|9|12|198|12.6
Potassium Chloride 2.67 MEQ/ML Oral Solution|90|5|7|1350|60|19049378|314182|95|0|12|1485|54
Potassium Chloride 8 MEQ Extended Release Oral Capsule|90|14|7|180|14|19049422|315183|95|9|12|198|12.6
Potassium Chloride 10 MEQ Extended Release Oral Tablet|90|14|7|180|14|19049684|628953|95|9|12|198|12.6
Potassium Iodide 1000 MG/ML Oral Solution|30|28|7|237|30|19049937|312541|35|23|12|260.7|27
clobazam 20 MG Oral Tablet|31|14|5|120|21|19050835|246172|36|9|10|132|18.9
Magnesium lactate 84 MG Extended Release Oral Tablet|90|28|11|240|28|19051927|198936|95|23|16|264|25.2
Chenodeoxycholate 250 MG Oral Tablet|30|30|10|180|60|19052483|618469|35|25|15|198|54
20 ML clofarabine 1 MG/ML Injection|28|28|1|500|500|19054823|486419|33|23|6|550|450
10 ML Nitroglycerin 5 MG/ML Injection|30|1|0|30|1|19056879|237205|35|-4|5|33|0.9
Calcium Carbonate 1500 MG Oral Tablet|90|7|13|150|14|19056978|237420|95|2|18|165|12.6
Aluminum Hydroxide 80 MG/ML / Magnesium Hydroxide 80 MG/ML / Simethicone 8 MG/ML Oral Suspension|30|3|9|900|355|19057064|237870|35|-2|14|990|319.5
168 HR Estradiol 0.00208 MG/HR Transdermal System|84|28|8|12|4|19057099|238003|89|23|13|13.2|3.6
168 HR Estradiol 0.00417 MG/HR Transdermal System|84|28|8|12|4|19057100|238004|89|23|13|13.2|3.6
Oxytocin 10 UNT/ML Injectable Solution|30|7|3|200|10|19057128|238013|35|2|8|220|9
Lorazepam 2 MG/ML Injectable Solution|30|1|4|40|1|19057271|238100|35|-4|9|44|0.9
Lorazepam 4 MG/ML Injectable Solution|30|1|2|66|6|19057272|238101|35|-4|7|72.6|5.4
selenium sulfide 25 MG/ML Medicated Shampoo|39|7|5|240|118|19057397|238600|44|2|10|264|106.2
10 ML Tranexamic Acid 100 MG/ML Injection|30|1|2|300|3|19057433|238720|35|-4|7|330|2.7
Benzocaine 0.2 MG/MG Oral Gel|30|5|4|30|7|19057476|238910|35|0|9|33|6.3
Betamethasone 0.5 MG/ML Topical Cream|30|7|3|90|15|19057478|238920|35|2|8|99|13.5
Streptozocin 1000 MG Injection|35|35|4|5|5|19057519|239180|40|30|9|5.5|4.5
Chloramphenicol 100 MG/ML Injectable Solution|10|3|3|3|2|19057562|239200|15|-2|8|3.3|1.8
Gentamicin 10 MG/ML Injectable Solution|30|7|6|500|1|19057565|239204|35|2|11|550|0.9
Vancomycin 100 MG/ML Injectable Solution|14|2|5|2001.2|0.5|19057568|239209|19|-3|10|2201.32|0.45
Amphotericin B 50 MG Injection|30|1|12|1000|1|19057592|239240|35|-4|17|1100|0.9
Epoetin Alfa 10000 UNT/ML Injectable Solution|56|7|7|8|2|19057622|240000|61|2|12|8.8|1.8
Cholecalciferol 5000 UNT Oral Capsule|90|7|13|90|4|19057624|240029|95|2|18|99|3.6
Potassium gluconate 2.5 MEQ Oral Tablet|31|7|32|112|7|19057662|240060|36|2|37|123.2|6.3
Betamethasone 0.5 MG/ML Topical Lotion|30|10|3|120|60|19057735|240209|35|5|8|132|54
1 ML Epoetin Alfa 3000 UNT/ML Injection|30|3|9|12|1|19057740|240377|35|-2|14|13.2|0.9
Cytarabine 20 MG/ML Injectable Solution|30|5|4|200|10|19057780|240416|35|0|9|220|9
0.5 ML Interferon gamma-1b 0.2 MG/ML Injection|30|28|9|12|4|19057841|240448|35|23|14|13.2|3.6
Colloidal oatmeal 10 MG/ML Topical Lotion|30|7|13|708|354|19057843|240464|35|2|18|778.8|318.6
Salicylic Acid 0.4 MG/MG Medicated Patch|30|1|5|40|1|19057890|240559|35|-4|10|44|0.9
Pentostatin 10 MG Injection|28|1|4|4|1|19057912|240573|33|-4|9|4.4|0.9
